LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
110	60	61	61.5	177.6	561.8	543.5	775.2	1408.5	2000.0	1587.3	1492.5	1351.4	1351.4	1250.0	1000.0	529.1	2000.0	44.4	36.3	36.8	37.0	36.5	36.8	36.4	39.1	51.4	51.5	55.9	62.7	140.6	163.4	65.1	36.2	35.8
111	61	62	37.7	38.6	38.1	54.5	108.3	169.2	145.1	55.6	53.9	87.5	130.4	240.4	159.2	36.5	35.8	35.1	91.1	302.1	900.9	2000.0	2000.0	1111.1	609.8	649.4	1063.8	1351.4	1587.3	1388.9	1087.0	1408.5	411.5	1818.2
112	62	63	37.4	37.0	36.7	37.8	157.5	82.4	70.5	84.0	39.0	377.4	1818.2	1960.8	460.8	209.2	34.8	35.3	35.9	36.6	36.1	476.2	2000.0	1219.5	833.3	565.0	1030.9	1315.8	793.7	239.8	46.6	35.6	35.1	44.4
113	63	64	69.8	229.9	365.0	819.7	1470.6	952.4	666.7	632.9	1785.7	2000.0	2000.0	2000.0	680.3	409.8	293.3	39.4	36.7	36.4	36.6	36.9	240.4	833.3	1052.6	471.7	281.7	36.4	51.4	107.8	64.3	43.2	36.1	44.4
114	64	65	36.2	36.7	36.3	37.0	37.0	36.7	36.5	36.3	36.4	35.7	36.0	35.7	36.3	36.6	35.7	35.8	47.7	49.5	70.7	49.2	52.5	57.6	60.7	83.5	1282.1	2000.0	2000.0	2000.0	2000.0	44.4	44.4	44.4
115	65	66	35.6	35.4	35.4	36.3	36.0	36.4	35.8	36.4	35.5	36.0	35.9	35.8	35.6	35.6	36.2	35.5	36.5	36.3	36.1	36.2	36.8	36.2	36.1	36.5	36.0	44.4	44.4	44.4	44.4	44.4	44.4	44.4
116	56	67	47.9	48.2	48.0	48.1	48.5	48.2	49.2	48.3	48.4	48.8	50.1	49.8	49.2	48.2	48.0	66.7	51.8	53.1	51.6	52.7	52.1	52.1	52.1	52.5	51.2	50.2	51.8	51.1	49.7	66.7	66.7	52.0
117	57	68	47.9	48.0	48.1	49.1	48.3	48.3	48.5	48.3	48.1	47.7	48.7	48.8	49.3	47.8	48.3	66.7	54.2	54.8	56.1	57.0	55.5	55.1	54.9	57.0	52.5	50.5	50.9	50.2	50.4	51.7	49.2	51.6
118	58	69	37.0	37.2	38.6	44.6	64.5	70.0	59.9	101.7	182.1	367.6	393.7	36.0	35.9	35.6	35.9	38.4	83.1	193.8	714.3	2000.0	2000.0	2000.0	2000.0	1562.5	1000.0	571.4	546.4	497.5	40.3	36.4	34.5	39.5
119	59	70	48.2	48.3	48.5	48.5	48.5	48.9	48.8	48.4	47.9	47.6	48.6	48.8	48.0	47.4	47.3	66.7	95.1	98.3	150.4	60.0	84.6	179.9	204.9	1204.8	2000.0	2000.0	2000.0	2000.0	50.7	51.8	50.5	50.6
120	60	71	48.0	48.2	48.6	48.8	48.6	48.7	48.3	48.4	48.2	47.8	48.1	48.3	48.0	47.8	47.4	48.6	82.8	111.1	197.6	158.5	371.7	1351.4	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	787.4	54.5	50.4
121	61	72	36.4	38.3	38.7	48.9	45.7	51.4	49.9	51.3	72.9	115.2	591.7	595.2	1449.3	2000.0	2000.0	1298.7	62.8	109.3	169.5	448.4	609.8	2000.0	2000.0	2000.0	2000.0	2000.0	1282.1	714.3	375.9	47.1	44.1	46.3
122	62	73	48.6	48.3	48.4	48.3	49.6	49.7	49.7	71.1	746.3	510.2	48.6	49.5	48.0	47.6	47.3	66.7	82.4	100.3	142.9	617.3	1754.4	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	54.8	56.5	49.8
