METADATA	Wed Dec 11 15:07:58 2013	BOX_LENGTH	0	CELL_LENGTH	7.5	SAMPLE_TIME	1	INCREMENT	86400	NUM_BINS	6	VEHICLE_TYPE	0	VEHICLE_SUBTYPE	0
LINK	DIR	OFFSET	TIME	SPEED0	SPEED1	SPEED2	SPEED3	SPEED4	SPEED5
179	1	1000.0	24:00	749	1059	2875	11567	0	0
180	0	1000.0	24:00	99	304	6170	23098	142	0
180	1	1000.0	24:00	3199	1677	4915	18828	0	0
181	0	1000.0	24:00	798	1173	2902	17682	55456	0
181	1	1000.0	24:00	88251	10145	2277	12458	42920	0
182	0	1000.0	24:00	86	279	6769	25417	145	0
182	1	1000.0	24:00	18110	2580	5438	20889	0	0
183	0	1000.0	24:00	104	280	6503	24204	153	0
183	1	1000.0	24:00	54374	4543	5749	21658	0	0
184	0	1000.0	24:00	430	771	2459	16680	52790	0
184	1	1000.0	24:00	36515	3736	2184	14705	50412	0
185	0	1000.0	24:00	68	590	6887	22426	39	0
185	1	1000.0	24:00	111626	19169	4813	17853	0	0
186	0	1000.0	24:00	69	418	7130	24311	83	0
186	1	1000.0	24:00	248268	4059	5702	21448	0	0
187	0	1000.0	24:00	449	893	2621	16815	53382	0
187	1	1000.0	24:00	11618	2894	1944	13245	45623	0
188	0	1000.0	24:00	76	259	6306	23718	139	0
188	1	1000.0	24:00	1636	1696	5432	20308	0	0
189	0	1000.0	24:00	53	225	4472	16495	134	0
189	1	1000.0	24:00	776	1060	3279	12371	0	0
190	0	1000.0	24:00	8	28	2379	9092	0	0
190	1	1000.0	24:00	51	186	3392	13165	0	0
191	0	1000.0	24:00	1780	1653	4981	19387	0	0
191	1	1000.0	24:00	81	333	7224	25874	157	0
192	0	1000.0	24:00	44	182	4208	15672	77	0
192	1	1000.0	24:00	1523	1106	4569	17311	0	0
193	0	1000.0	24:00	49	124	4702	18123	0	0
193	1	1000.0	24:00	75	163	5319	19885	0	0
194	0	1000.0	24:00	2098	1653	5559	21221	0	0
194	1	1000.0	24:00	80	239	6193	22856	112	0
