HOUSEHOLD	PERSON	TRIP	LEG	MODE	EVENT	SCHEDULE	ACTUAL	LINK	OFFSET
44138	1	1	2	0	2	311	228	168	500
23279	1	1	2	0	2	233	207	27	500
12586	1	1	2	0	2	322	265	-33	500
29647	1	1	2	0	2	233	213	180	500
53157	1	1	2	0	2	67	78	-92	500
3578	1	1	2	0	2	333	252	179	500
19899	1	1	2	0	2	134	96	-26	500
29525	1	1	2	0	2	322	256	-48	500
791	1	1	2	0	2	289	228	188	500
17808	1	1	2	0	2	200	186	-38	500
22373	1	1	2	0	2	189	176	-33	500
51534	1	1	2	0	2	189	150	180	500
7988	1	1	2	0	2	189	140	-208	500
5435	1	1	2	0	2	67	47	-9	500
36001	1	1	2	0	2	322	261	175	500
47633	1	1	2	0	2	233	210	27	500
51911	1	1	2	0	2	289	253	-26	500
3769	1	1	2	0	2	278	214	-33	500
38392	1	1	2	0	2	322	274	-56	500
2032	1	1	2	0	2	322	266	-46	500
53567	1	1	2	0	2	278	252	219	500
10906	1	1	2	0	2	178	151	-44	500
33278	1	1	2	0	2	300	262	-173	500
21395	1	1	2	0	2	322	256	-61	500
14485	1	1	2	0	2	333	251	52	500
21200	1	1	2	0	2	245	179	13	500
7180	1	1	2	0	2	333	279	156	500
49497	1	1	2	0	2	355	279	163	500
41471	1	1	2	0	2	333	277	-65	500
19770	1	1	2	0	2	200	159	-26	500
51805	1	1	2	0	2	189	137	-200	500
27325	1	1	2	0	2	389	280	-56	500
16622	1	1	2	0	2	267	230	179	500
54702	1	1	2	0	2	289	223	154	500
35256	1	1	2	0	2	222	187	51	500
1836	1	1	2	0	2	222	183	172	500
5574	1	1	2	0	2	189	161	183	500
4458	1	1	2	0	2	100	79	-37	500
36108	1	1	2	0	2	333	267	-65	500
36033	1	1	2	0	2	334	246	-14	500
54875	1	1	2	0	2	267	209	-19	500
8113	1	1	2	0	2	267	202	31	500
53999	1	1	2	0	2	189	138	-18	500
1892	1	1	2	0	2	344	274	-46	500
57668	1	1	2	0	2	333	271	156	500
51228	1	1	2	0	2	167	131	-37	500
20063	1	1	2	0	2	344	277	159	500
33085	1	1	2	0	2	300	260	-47	500
47498	1	1	2	0	2	322	258	178	500
1378	1	1	2	0	2	233	211	177	500
15552	1	1	2	0	2	222	200	172	500
38554	1	1	2	0	2	322	254	165	500
20227	1	1	2	0	2	322	237	-204	500
