LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
103	53	64	0.21	0.29	0.30	0.17	0.11	0.11	0.17	0.15	0.06	0.14	0.09	0.19	0.43	0.47	0.09	0.00	0.22	0.30	0.35	0.32	0.28	0.30	0.22	0.06	0.00	0.01	0.11	0.12	0.18	0.42	0.06	0.03
104	54	65	0.20	0.16	0.20	0.27	0.23	0.23	0.17	0.19	0.03	0.01	0.01	0.02	0.03	0.04	0.00	0.00	0.13	0.15	0.11	0.11	0.12	0.20	0.27	0.18	0.06	0.01	0.07	0.06	0.18	0.21	0.01	0.01
105	55	66	0.10	0.12	0.16	0.20	0.19	0.17	0.14	0.14	0.01	0.00	0.01	0.01	0.02	0.01	0.00	0.00	0.07	0.08	0.13	0.06	0.12	0.14	0.23	0.13	0.03	0.01	0.04	0.07	0.12	0.19	0.01	0.01
106	56	57	0.07	0.08	0.09	0.10	0.10	0.10	0.08	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.04	0.04	0.05	0.09	0.05	0.07	0.10	0.06	0.06	0.05	0.03	0.04	0.03	0.03	0.01
107	57	58	0.16	0.18	0.17	0.22	0.23	0.20	0.17	0.17	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.09	0.08	0.11	0.15	0.10	0.15	0.19	0.12	0.12	0.12	0.06	0.07	0.05	0.05	0.03
108	58	59	0.23	0.30	0.30	0.37	0.35	0.29	0.22	0.20	0.18	0.20	0.19	0.16	0.00	0.00	0.00	0.00	0.18	0.24	0.22	0.19	0.23	0.27	0.30	0.34	0.26	0.18	0.15	0.14	0.19	0.11	0.14	0.04
109	59	60	0.28	0.34	0.38	0.47	0.41	0.29	0.16	0.17	0.19	0.23	0.19	0.25	0.16	0.03	0.00	0.00	0.21	0.26	0.23	0.18	0.22	0.26	0.36	0.40	0.29	0.23	0.16	0.18	0.26	0.14	0.17	0.05
110	60	61	0.30	0.32	0.36	0.46	0.39	0.23	0.10	0.20	0.21	0.23	0.23	0.26	0.30	0.28	0.01	0.00	0.21	0.26	0.20	0.18	0.20	0.30	0.43	0.44	0.31	0.26	0.17	0.18	0.27	0.12	0.20	0.06
111	61	62	0.25	0.28	0.27	0.37	0.36	0.27	0.16	0.27	0.26	0.28	0.30	0.26	0.35	0.22	0.00	0.01	0.27	0.33	0.28	0.14	0.16	0.28	0.47	0.45	0.29	0.23	0.20	0.18	0.22	0.20	0.27	0.01
112	62	63	0.25	0.28	0.27	0.36	0.32	0.28	0.17	0.26	0.26	0.15	0.19	0.17	0.47	0.30	0.00	0.01	0.26	0.34	0.35	0.26	0.17	0.27	0.37	0.51	0.25	0.16	0.15	0.09	0.18	0.20	0.08	0.00
113	63	64	0.20	0.24	0.26	0.26	0.22	0.29	0.27	0.18	0.17	0.04	0.12	0.14	0.42	0.44	0.03	0.01	0.23	0.26	0.29	0.33	0.29	0.29	0.30	0.38	0.08	0.05	0.07	0.07	0.19	0.17	0.07	0.00
114	64	65	0.07	0.09	0.12	0.09	0.17	0.23	0.20	0.07	0.04	0.03	0.06	0.07	0.17	0.20	0.01	0.01	0.16	0.16	0.19	0.21	0.22	0.21	0.17	0.15	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
