LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
65	35	36	0.89	1.45	2.13	2.38	1.10	0.98	0.90	1.21	1.33	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.72	0.73	0.72	0.73	0.72	0.73	0.73	0.73	0.72	0.72	0.72	0.72	0.72	0.72	0.73	0.71
66	36	37	0.73	0.72	0.72	0.73	0.73	0.73	0.72	0.73	0.72	0.72	0.72	0.74	0.71	0.77	1.00	0.71	0.89	0.84	0.97	0.82	0.83	0.90	0.91	1.04	0.77	0.85	0.79	0.76	0.76	0.77	0.75	0.78
67	37	38	0.72	0.72	0.73	0.72	0.72	0.72	0.72	0.72	0.72	0.71	0.73	0.72	1.00	1.00	1.00	1.00	0.73	0.72	0.72	0.72	0.72	0.72	0.72	0.72	0.72	0.73	0.72	0.72	0.72	0.72	0.72	0.71
68	38	39	1.54	1.48	2.28	14.70	29.99	29.99	29.99	19.22	5.66	0.84	0.90	0.78	0.77	0.72	1.00	1.00	0.73	0.72	0.72	0.73	0.73	0.74	0.73	0.73	0.72	0.72	0.72	0.72	0.72	0.73	0.71	0.71
69	39	40	0.73	0.72	0.73	0.73	0.72	0.72	0.73	0.73	0.72	0.73	0.72	0.72	0.72	0.71	0.72	0.72	0.94	1.01	2.93	5.62	17.23	24.58	20.26	13.39	4.04	0.75	0.78	0.83	0.80	0.77	0.83	1.00
70	40	41	0.72	0.73	0.73	0.72	0.72	0.73	0.72	0.72	0.72	0.72	0.71	0.72	0.72	0.72	0.72	0.74	0.73	0.73	0.73	0.72	0.72	0.72	0.72	0.73	0.72	0.72	0.72	0.73	0.72	0.72	0.70	1.00
71	41	42	0.89	1.45	1.15	1.23	2.24	11.19	20.54	29.99	29.99	29.99	29.99	29.99	29.99	6.33	0.78	1.00	0.72	0.73	0.73	0.73	0.72	0.73	0.72	0.73	0.72	0.73	0.73	0.72	0.73	0.72	0.71	0.73
72	42	43	0.73	0.72	0.72	0.73	0.72	0.72	0.73	0.73	0.73	0.74	0.74	0.75	0.74	0.73	0.74	0.72	0.89	1.28	1.51	0.92	2.81	18.28	29.99	29.99	29.99	29.99	29.99	29.99	29.99	19.99	1.00	1.00
73	43	44	0.73	0.72	0.72	0.72	0.72	0.72	0.72	0.73	0.72	0.73	0.72	0.73	0.74	0.73	0.73	0.75	0.74	0.73	0.72	0.73	0.74	0.73	0.72	0.73	0.72	0.77	0.81	1.00	1.00	0.81	1.00	1.00
74	34	45	0.72	0.72	0.72	0.72	0.73	0.73	0.73	0.73	0.74	0.76	0.73	0.76	0.76	1.00	1.00	1.00	0.72	0.72	0.72	0.71	0.72	0.72	0.73	0.72	0.72	0.74	0.73	0.72	0.74	0.73	0.72	0.73
