ACCESS	FROM_ID	FROM_TYPE	TO_ID	TO_TYPE	TIME	COST
403	202	ACTIVITY	202	PARKING	0	0
404	202	PARKING	202	ACTIVITY	0	0
405	203	ACTIVITY	203	PARKING	0	0
406	203	PARKING	203	ACTIVITY	0	0
407	204	ACTIVITY	204	PARKING	0	0
408	204	PARKING	204	ACTIVITY	0	0
409	205	ACTIVITY	205	PARKING	0	0
410	205	PARKING	205	ACTIVITY	0	0
411	206	ACTIVITY	206	PARKING	0	0
412	206	PARKING	206	ACTIVITY	0	0
413	207	ACTIVITY	207	PARKING	0	0
414	207	PARKING	207	ACTIVITY	0	0
415	208	ACTIVITY	208	PARKING	0	0
416	208	PARKING	208	ACTIVITY	0	0
417	209	ACTIVITY	209	PARKING	0	0
418	209	PARKING	209	ACTIVITY	0	0
419	210	ACTIVITY	210	PARKING	0	0
420	210	PARKING	210	ACTIVITY	0	0
421	211	ACTIVITY	211	PARKING	0	0
422	211	PARKING	211	ACTIVITY	0	0
423	212	ACTIVITY	212	PARKING	0	0
424	212	PARKING	212	ACTIVITY	0	0
425	213	ACTIVITY	213	PARKING	0	0
426	213	PARKING	213	ACTIVITY	0	0
427	214	ACTIVITY	214	PARKING	0	0
428	214	PARKING	214	ACTIVITY	0	0
429	215	ACTIVITY	215	PARKING	0	0
430	215	PARKING	215	ACTIVITY	0	0
431	216	ACTIVITY	216	PARKING	0	0
432	216	PARKING	216	ACTIVITY	0	0
433	217	ACTIVITY	217	PARKING	0	0
434	217	PARKING	217	ACTIVITY	0	0
435	218	ACTIVITY	218	PARKING	0	0
436	218	PARKING	218	ACTIVITY	0	0
437	219	ACTIVITY	219	PARKING	0	0
438	219	PARKING	219	ACTIVITY	0	0
439	220	ACTIVITY	220	PARKING	0	0
440	220	PARKING	220	ACTIVITY	0	0
441	221	ACTIVITY	221	PARKING	0	0
442	221	PARKING	221	ACTIVITY	0	0
443	222	ACTIVITY	222	PARKING	0	0
444	222	PARKING	222	ACTIVITY	0	0
445	223	ACTIVITY	223	PARKING	0	0
446	223	PARKING	223	ACTIVITY	0	0
447	224	ACTIVITY	224	PARKING	0	0
448	224	PARKING	224	ACTIVITY	0	0
449	225	ACTIVITY	225	PARKING	0	0
450	225	PARKING	225	ACTIVITY	0	0
451	226	ACTIVITY	226	PARKING	0	0
452	226	PARKING	226	ACTIVITY	0	0
453	227	ACTIVITY	227	PARKING	0	0
454	227	PARKING	227	ACTIVITY	0	0
455	228	ACTIVITY	228	PARKING	0	0
456	228	PARKING	228	ACTIVITY	0	0
457	229	ACTIVITY	229	PARKING	0	0
458	229	PARKING	229	ACTIVITY	0	0
459	230	ACTIVITY	230	PARKING	0	0
460	230	PARKING	230	ACTIVITY	0	0
461	231	ACTIVITY	231	PARKING	0	0
462	231	PARKING	231	ACTIVITY	0	0
463	232	ACTIVITY	232	PARKING	0	0
464	232	PARKING	232	ACTIVITY	0	0
465	233	ACTIVITY	233	PARKING	0	0
466	233	PARKING	233	ACTIVITY	0	0
467	234	ACTIVITY	234	PARKING	0	0
468	234	PARKING	234	ACTIVITY	0	0
469	235	ACTIVITY	235	PARKING	0	0
470	235	PARKING	235	ACTIVITY	0	0
471	236	ACTIVITY	236	PARKING	0	0
472	236	PARKING	236	ACTIVITY	0	0
473	237	ACTIVITY	237	PARKING	0	0
474	237	PARKING	237	ACTIVITY	0	0
475	238	ACTIVITY	238	PARKING	0	0
476	238	PARKING	238	ACTIVITY	0	0
477	239	ACTIVITY	239	PARKING	0	0
478	239	PARKING	239	ACTIVITY	0	0
479	240	ACTIVITY	240	PARKING	0	0
480	240	PARKING	240	ACTIVITY	0	0
481	241	ACTIVITY	241	PARKING	0	0
482	241	PARKING	241	ACTIVITY	0	0
483	242	ACTIVITY	242	PARKING	0	0
484	242	PARKING	242	ACTIVITY	0	0
485	243	ACTIVITY	243	PARKING	0	0
486	243	PARKING	243	ACTIVITY	0	0
487	244	ACTIVITY	244	PARKING	0	0
488	244	PARKING	244	ACTIVITY	0	0
489	245	ACTIVITY	245	PARKING	0	0
490	245	PARKING	245	ACTIVITY	0	0
491	246	ACTIVITY	246	PARKING	0	0
492	246	PARKING	246	ACTIVITY	0	0
493	247	ACTIVITY	247	PARKING	0	0
494	247	PARKING	247	ACTIVITY	0	0
495	248	ACTIVITY	248	PARKING	0	0
496	248	PARKING	248	ACTIVITY	0	0
497	249	ACTIVITY	249	PARKING	0	0
498	249	PARKING	249	ACTIVITY	0	0
499	250	ACTIVITY	250	PARKING	0	0
500	250	PARKING	250	ACTIVITY	0	0
501	251	ACTIVITY	251	PARKING	0	0
502	251	PARKING	251	ACTIVITY	0	0
503	252	ACTIVITY	252	PARKING	0	0
504	252	PARKING	252	ACTIVITY	0	0
505	253	ACTIVITY	253	PARKING	0	0
506	253	PARKING	253	ACTIVITY	0	0
507	254	ACTIVITY	254	PARKING	0	0
508	254	PARKING	254	ACTIVITY	0	0
509	255	ACTIVITY	255	PARKING	0	0
510	255	PARKING	255	ACTIVITY	0	0
511	256	ACTIVITY	256	PARKING	0	0
512	256	PARKING	256	ACTIVITY	0	0
513	257	ACTIVITY	257	PARKING	0	0
514	257	PARKING	257	ACTIVITY	0	0
515	258	ACTIVITY	258	PARKING	0	0
516	258	PARKING	258	ACTIVITY	0	0
517	259	ACTIVITY	259	PARKING	0	0
518	259	PARKING	259	ACTIVITY	0	0
519	260	ACTIVITY	260	PARKING	0	0
520	260	PARKING	260	ACTIVITY	0	0
521	261	ACTIVITY	261	PARKING	0	0
522	261	PARKING	261	ACTIVITY	0	0
523	262	ACTIVITY	262	PARKING	0	0
524	262	PARKING	262	ACTIVITY	0	0
525	263	ACTIVITY	263	PARKING	0	0
526	263	PARKING	263	ACTIVITY	0	0
527	264	ACTIVITY	264	PARKING	0	0
528	264	PARKING	264	ACTIVITY	0	0
529	265	ACTIVITY	265	PARKING	0	0
530	265	PARKING	265	ACTIVITY	0	0
531	266	ACTIVITY	266	PARKING	0	0
532	266	PARKING	266	ACTIVITY	0	0
533	267	ACTIVITY	267	PARKING	0	0
534	267	PARKING	267	ACTIVITY	0	0
535	268	ACTIVITY	268	PARKING	0	0
536	268	PARKING	268	ACTIVITY	0	0
537	269	ACTIVITY	269	PARKING	0	0
538	269	PARKING	269	ACTIVITY	0	0
539	270	ACTIVITY	270	PARKING	0	0
540	270	PARKING	270	ACTIVITY	0	0
541	271	ACTIVITY	271	PARKING	0	0
542	271	PARKING	271	ACTIVITY	0	0
543	272	ACTIVITY	272	PARKING	0	0
544	272	PARKING	272	ACTIVITY	0	0
545	273	ACTIVITY	273	PARKING	0	0
546	273	PARKING	273	ACTIVITY	0	0
547	274	ACTIVITY	274	PARKING	0	0
548	274	PARKING	274	ACTIVITY	0	0
549	275	ACTIVITY	275	PARKING	0	0
550	275	PARKING	275	ACTIVITY	0	0
551	276	ACTIVITY	276	PARKING	0	0
552	276	PARKING	276	ACTIVITY	0	0
553	277	ACTIVITY	277	PARKING	0	0
554	277	PARKING	277	ACTIVITY	0	0
555	278	ACTIVITY	278	PARKING	0	0
556	278	PARKING	278	ACTIVITY	0	0
557	279	ACTIVITY	279	PARKING	0	0
558	279	PARKING	279	ACTIVITY	0	0
559	280	ACTIVITY	280	PARKING	0	0
560	280	PARKING	280	ACTIVITY	0	0
561	281	ACTIVITY	281	PARKING	0	0
562	281	PARKING	281	ACTIVITY	0	0
563	282	ACTIVITY	282	PARKING	0	0
564	282	PARKING	282	ACTIVITY	0	0
565	283	ACTIVITY	283	PARKING	0	0
566	283	PARKING	283	ACTIVITY	0	0
567	284	ACTIVITY	284	PARKING	0	0
568	284	PARKING	284	ACTIVITY	0	0
569	285	ACTIVITY	285	PARKING	0	0
570	285	PARKING	285	ACTIVITY	0	0
571	286	ACTIVITY	286	PARKING	0	0
572	286	PARKING	286	ACTIVITY	0	0
573	287	ACTIVITY	287	PARKING	0	0
574	287	PARKING	287	ACTIVITY	0	0
575	288	ACTIVITY	288	PARKING	0	0
576	288	PARKING	288	ACTIVITY	0	0
577	289	ACTIVITY	289	PARKING	0	0
578	289	PARKING	289	ACTIVITY	0	0
579	290	ACTIVITY	290	PARKING	0	0
580	290	PARKING	290	ACTIVITY	0	0
581	291	ACTIVITY	291	PARKING	0	0
582	291	PARKING	291	ACTIVITY	0	0
583	292	ACTIVITY	292	PARKING	0	0
584	292	PARKING	292	ACTIVITY	0	0
585	293	ACTIVITY	293	PARKING	0	0
